Specific Substrate,General Substrate Category
glucose,Simple carbohydrates / Sugars
sucrose,Simple carbohydrates / Sugars
lactose,Simple carbohydrates /Sugars
molasses,Simple carbohydrates / Sugars
sugarcane molasses,Simple carbohydrates / Sugars
maltose,Simple carbohydrates / Sugars
corn starch,Simple carbohydrates / Sugars
cellulose,Simple carbohydrates / Sugars
corn cobs,Lignocellulosic biomass
corn stover,Lignocellulosic biomass
rice straw,Lignocellulosic biomass
wheat straw / wheat starw,Lignocellulosic biomass
grass,Lignocellulosic biomass
sugarcane bagasse,Lignocellulosic biomass
beet pulp,Lignocellulosic biomass
potato peels (hydrolyzed),Lignocellulosic biomass
crude glycerol,Glycerol / Biodiesel by-product
cheese whey,Cheese whey
palm oil mill effluent (POME),Industrial organic wastewater
cassava wastewater,Industrial organic wastewater
citric acid wastewater,Industrial organic wastewater
brewery waste,Industrial organic wastewater
wastewater from brewery plant,Industrial organic wastewater
washing wastewater of beverage,Industrial organic wastewater
rice winery wastewater,Industrial organic wastewater
jatropha residue,Industrial organic wastewater (or lignocell.)
cattle wastewater,Industrial organic wastewater
coffee mucilage + organic waste,Coffee mucilage + organic residues
kitchen waste / vegetable kitchen waste,Food waste / Kitchen waste
synthetic food waste,Food waste / Kitchen waste
food waste / food wastes,Food waste / Kitchen waste
manure + paper waste,Mixed organic wastes
"mixture of slaughterhouse waste, food industry residues, yeast",Mixed organic wastes
food waste and sewage sludge,Mixed organic wastes
pig slurry,Mixed organic wastes
cow waste slurry,Mixed organic wastes
sewage biosolids,Mixed organic wastes
municipal solid waste,Organic municipal solid waste (OFMSW)
organic fraction of municipal solid waste,Organic municipal solid waste (OFMSW)
organic municipal waste mixed with slaughterhouse waste,Mixed organic wastes
organic waste,Mixed organic wastes
algae biomass,Algae biomass
